Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
Felix Anudike-Uzomah,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Jake Briningstool,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Deon Bush,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Michael Danna,,,O,D,,,,,,,,,
Kristian Fulton,,,O,Q,Q,,,,,,,,
Brandon George,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Ashton Gillotte,,,,Q,,,,,,,,,
Noah Gray,,,,,,,,,,,,,O
Keaontay Ingram,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Nazeeh Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Jaylon Moore,,,,,,,,,Q,,Q,,
Omarr Norman-Lott,Q,,,,Q,,,IR,IR,,IR,IR,IR
Isiah Pacheco,,,,,,,,,O,,O,O,
Janarius Robinson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Christian Roland-Wallace,,,,,,,,,,,,,O
Jalen Royals,O,O,Q,,,,,,,,,,
Darius Rush,IR,,,,,,,,,,,,
Eric Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Josh Simmons,,,,,,Q,O,O,O,,,,
Trey Smith,,,,,,,,D,Q,,,,O
Kingsley Suamataia,,,,,,,,,,,,Q,
Xavier Worthy,,O,O,,,,,,,,,Q,